,label,indices
4728,Numbers in programming and algorithm contexts,"[477, 824, 240, 325, 360, 272, 293, 375, 199, 293]"
4732,Mathematical calculation transitions and operations,"[21, 1327, 1700, 30, 1352, 7512, 686, 611, 1088, 965]"
4749,Definitions of self-contained concepts that convey meaning,"[40, 40, 40, 40, 40, 40, 49, 49, 49, 49]"
4751,Mathematical variables and expressions in equations,"[936, 918, 395, 2054, 474, 1198, 1197, 718, 537, 2170]"
4755,Algorithm design and mathematical problem-solving thought process,"[9182, 1075, 3302, 4892, 6327, 1125, 7924, 3480, 1559, 11783]"
4758,Algorithmic problem-solving explanations,"[16, 106, 16, 121, 71, 55, 48, 86, 221, 413]"
4759,Mathematical computation and algebraic manipulation,"[1278, 9403, 2722, 3747, 2404, 947, 1635, 1517, 1618, 6311]"
4794,Numerical values and quantities,"[10329, 1814, 1680, 15963, 5478, 4291, 1179, 1215, 6541, 3423]"
4795,Problem-solving with mathematical modeling,"[8, 8, 7, 8, 7, 8, 7, 9, 13, 7]"
4799,mathematical reasoning and condition evaluation,"[4702, 5060, 13105, 7853, 11229, 5015, 7043, 8730, 4565, 4968]"
4804,Mathematical reasoning and notation,"[13747, 18398, 2899, 8022, 4896, 3834, 4141, 2786, 1991, 10922]"
4808,Mathematical coefficients and powers in algorithms,"[2360, 466, 8986, 1390, 9519, 481, 795, 9516, 628, 6866]"
4827,Mathematical operations and arithmetic calculations,"[4668, 9289, 6521, 6182, 5632, 6419, 2393, 12740, 6109, 6413]"
4835,Algorithm explanation in programming problem solutions,"[17939, 11235, 18634, 18337, 12077, 13568, 15971, 13061, 18632, 14424]"
4851,Assistant's mathematical reasoning process,"[48, 32, 46, 29, 22, 45, 39, 29, 35, 36]"
4853,Mathematical expressions and formulas,"[1222, 19675, 1990, 686, 7274, 2868, 930, 18911, 4052, 3718]"
4856,Mathematical variables and notation,"[20809, 1035, 8754, 2544, 2453, 2812, 12854, 722, 3347, 11632]"
4859,End of mathematical reasoning step,"[4964, 3910, 659, 5039, 2033, 1755, 6894, 1857, 1760, 929]"
4863,Mathematical operations in code,"[15710, 22157, 7860, 18643, 1378, 14620, 7688, 16602, 10363, 9550]"
4876,Mathematical variables in equations and formulas,"[485, 7654, 1182, 4682, 1552, 1251, 7557, 13073, 1461, 7105]"
4877,Mathematical reasoning and calculation,"[8158, 1952, 1953, 7746, 13747, 7475, 11792, 7745, 5543, 7547]"
4887,Mathematical and algorithmic problem-solving,"[673, 1850, 1195, 9012, 133, 1187, 2833, 4349, 1132, 15]"
4895,Algorithmic problem-solving explanations,"[14523, 7996, 5152, 12915, 2118, 2945, 8634, 6392, 12904, 2576]"
4896,Mathematical reasoning in code,"[8536, 20232, 14279, 6178, 22718, 14280, 3163, 8820, 8537, 6823]"
4898,Summation operations in computational contexts,"[9336, 4264, 4456, 4737, 3947, 7887, 2477, 1970, 5422, 3280]"
4905,Step-by-step mathematical reasoning and problem-solving,"[106, 279, 603, 249, 65, 104, 1273, 439, 299, 299]"
4906,small integer values in algorithmic explanations,"[3739, 6247, 5749, 9877, 11617, 4062, 1591, 2129, 7388, 16901]"
4916,The model is explaining a technical concept or approach,"[2217, 5258, 11547, 2049, 5001, 27588, 11509, 3188, 1618, 7895]"
4935,Explaining numerical algorithms and solutions,"[8701, 11668, 16395, 11342, 17192, 7975, 10241, 3843, 3164, 13693]"
4955,Small integers in mathematical reasoning,"[9518, 7357, 10054, 10237, 4072, 909, 10799, 1844, 2371, 1663]"
4960,Mathematical reasoning and computation,"[8289, 3078, 10184, 6469, 970, 7589, 3262, 4413, 8847, 15231]"
4964,Computing sums and totals in mathematical contexts,"[1151, 1150, 10594, 674, 501, 2784, 1043, 938, 1828, 1068]"
4975,Mathematical variables in equations,"[894, 1782, 1923, 798, 1528, 9526, 639, 8679, 708, 2057]"
4987,Mathematical reasoning with powers and exponents,"[3879, 859, 4989, 1693, 9768, 5874, 5614, 7575, 2870, 5220]"
4993,Mathematical constraint and property language,"[2796, 8270, 7567, 2214, 2553, 803, 402, 3350, 4009, 3139]"
5008,Mathematical computations,"[12555, 4131, 2981, 6998, 3758, 657, 2609, 6284, 1029, 9704]"
5016,Mathematical problem-solving,"[12750, 5304, 3855, 15940, 3276, 4298, 4269, 3850, 4625, 5022]"
5034,Explaining mathematical operations and procedures,"[201, 329, 469, 208, 1059, 559, 2701, 184, 42, 143]"
5040,Mathematical evaluation and calculation,"[15807, 1343, 35, 803, 13378, 14818, 2151, 1516, 741, 3144]"
5060,Numbers and mathematical notation,"[3458, 400, 4067, 3188, 754, 5803, 1212, 1469, 1121, 1885]"
5069,The digit 1 in mathematical contexts,"[718, 1245, 1474, 680, 964, 891, 891, 1841, 891, 1637]"
5082,Math problem solving,"[5763, 15601, 4453, 6390, 16173, 2229, 13191, 1188, 13391, 3907]"
5085,Mathematical calculation operations,"[709, 1798, 367, 2398, 405, 2449, 763, 15567, 12357, 1707]"
5123,Mathematical notation and equation structure,"[4510, 1175, 1623, 16299, 1085, 3510, 14925, 2162, 1096, 2590]"
5125,Mathematical variable names in problem-solving contexts,"[7415, 1873, 2030, 4002, 5915, 6785, 493, 7881, 3306, 3799]"
5129,Mathematical operations and algorithmic reasoning,"[309, 249, 300, 267, 223, 267, 305, 433, 5587, 5162]"
5135,Mathematical reasoning,"[10072, 12395, 8254, 3827, 4395, 3858, 9109, 3480, 4792, 1910]"
5139,Analytical reasoning flow markers in mathematical explanations,"[3474, 11719, 36, 11563, 11975, 13630, 4222, 453, 4104, 3158]"
5147,Mathematical problem solving,"[8314, 2069, 8465, 5841, 502, 5185, 4317, 9801, 9766, 1823]"
5156,Mathematical formula variables,"[3032, 6667, 3682, 7207, 7311, 10229, 13350, 16224, 13188, 12702]"
5160,Mathematical expressions in problem-solving,"[6699, 5732, 3531, 6462, 13773, 3826, 4082, 4342, 1002, 1191]"
5162,Mathematical reasoning and calculation,"[3661, 3635, 853, 9176, 663, 793, 2233, 592, 2208, 6332]"
5170,Technical explanation tokens in mathematical and computational contexts,"[16459, 2266, 1767, 7138, 2776, 8993, 1760, 10075, 4609, 12628]"
5186,Mathematical operations and expressions,"[19254, 2896, 2897, 4938, 5923, 15861, 4844, 9967, 2039, 1792]"
5189,Algorithm explanation and problem-solving approaches,"[65, 114, 191, 65, 65, 85, 35, 360, 29, 111]"
5193,Mathematical reasoning and equation solving,"[8068, 5571, 16750, 3963, 3807, 4187, 15414, 2893, 9968, 7210]"
5200,parity concepts in mathematics,"[693, 4692, 1220, 634, 877, 839, 758, 1993, 707, 857]"
5223,Mathematical addition operations,"[2146, 2416, 12082, 3421, 2559, 7184, 10974, 2859, 8660, 8420]"
5227,Multiplication operations in mathematical contexts,"[4231, 1709, 4755, 6898, 12645, 4639, 7488, 9036, 5154, 3549]"
5247,Mathematical calculation and formula explanation,"[4774, 1375, 11267, 18755, 8342, 19901, 6744, 2669, 16062, 5704]"
5260,Mathematical and algorithmic problem-solving elements,"[7265, 985, 2883, 7757, 1079, 4955, 4082, 1494, 904, 3079]"
5270,Problem statements and explanations of puzzles or algorithms,"[163, 15, 18, 14, 32, 37, 35, 89, 25, 16]"
5272,Math problem solving,"[6193, 2196, 5500, 1368, 629, 3388, 2227, 117, 6457, 787]"
5300,Numbers in mathematical sequences and patterns,"[6182, 4507, 4553, 1905, 7682, 1928, 1677, 9339, 7912, 8822]"
5318,mathematical parity concepts,"[2466, 2443, 2074, 9058, 2484, 2437, 3227, 3130, 3101, 2945]"
5369,Mathematical calculation and equation processing,"[612, 1495, 549, 1978, 1122, 8820, 1157, 16183, 5071, 3739]"
5372,Mathematical formulas and expressions,"[5697, 2464, 1340, 5983, 4732, 12995, 5923, 3013, 1702, 1654]"
5396,mathematical variables and symbols in code and equations,"[155, 155, 233, 96, 272, 3269, 292, 202, 136, 305]"
5399,Small integers (0-2) in mathematical contexts,"[86, 82, 125, 47, 104, 81, 83, 94, 72, 78]"
5403,Mathematical equations and variable assignments,"[7986, 13342, 4428, 1774, 4163, 6080, 18518, 1228, 8652, 5731]"
5406,Mathematical problem-solving and algorithmic reasoning,"[743, 1392, 6683, 4998, 236, 643, 1702, 795, 2653, 6367]"
5407,Intermediate calculation steps in mathematical reasoning,"[1727, 837, 1433, 799, 8840, 1082, 7672, 3191, 4809, 10218]"
5441,Algorithm explanation and computational problem-solving,"[21237, 14584, 12273, 14174, 11561, 11500, 8051, 15052, 15457, 14835]"
5444,Algorithm explanation and problem-solving,"[11528, 14067, 10026, 9380, 9030, 8579, 5275, 13710, 11438, 6751]"
5448,Quantities and measurements,"[176, 331, 205, 348, 253, 1111, 3387, 122, 1267, 194]"
5450,Explanations of mathematical and computational algorithms,"[3246, 12448, 5504, 9511, 2771, 3097, 5148, 6739, 11900, 6322]"
5457,Mathematical reasoning steps in internal thinking,"[2937, 4213, 5482, 956, 1417, 5121, 4882, 2296, 472, 5362]"
5487,Variable tokens in mathematical explanations,"[1565, 8901, 2002, 7064, 9413, 7070, 7513, 9920, 6244, 6027]"
5492,Expressing mathematical variables or expressions in terms of others,"[391, 511, 422, 248, 253, 318, 384, 1383, 1021, 395]"
5496,Mathematical variables and algebraic expressions,"[2610, 1412, 3474, 5633, 5059, 4088, 727, 1002, 1046, 2100]"
5503,Programming problem-solving and algorithm explanation,"[118, 223, 270, 66, 9875, 31, 48, 159, 28, 28]"
5506,Mathematical reasoning steps and calculations,"[8376, 19835, 1509, 11007, 735, 4305, 1818, 2734, 3301, 1464]"
5509,Providing examples in explanations,"[4623, 1097, 1103, 4829, 4836, 3406, 3398, 1417, 15270, 1152]"
5510,Mathematical problems with 2N objects,"[173, 234, 234, 173, 170, 1550, 389, 3671, 219, 32]"
5523,Subtraction operations and negative numbers in mathematical contexts,"[2518, 6435, 7959, 470, 8749, 1527, 8049, 345, 2271, 9036]"
5525,Reasoning about examples in problem-solving,"[6981, 5808, 1756, 4318, 1338, 5250, 1949, 6857, 5249, 4633]"
5533,The number 1 and small integers in programming contexts,"[2071, 7972, 9201, 7848, 6085, 15473, 10208, 7058, 3583, 23054]"
5545,Mathematical problem-solving reasoning,"[3045, 890, 1557, 1770, 2500, 2444, 4364, 2189, 1240, 3274]"
5553,Mathematical reasoning with numbers and sequences,"[4259, 2570, 19570, 376, 12574, 329, 3274, 243, 284, 12844]"
5561,Index variables in mathematical reasoning,"[9668, 5655, 6170, 9290, 2507, 9618, 1153, 1284, 7847, 4678]"
5572,Technical terms in algorithmic problem-solving explanations,"[3724, 10417, 10144, 8621, 6053, 1109, 2509, 5416, 9355, 7570]"
5578,Mathematical problem-solving reasoning,"[4064, 22797, 7568, 12821, 2037, 545, 10248, 3953, 9588, 24023]"
5593,Mathematical operators and symbols in programming explanations,"[7956, 2624, 12476, 18641, 10975, 12148, 22508, 19400, 1549, 8900]"
5597,Mathematical divisibility explanations,"[18982, 1263, 2212, 4248, 3343, 1420, 4080, 19116, 1183, 745]"
5629,Mathematical equation manipulation and algebraic reasoning,"[3323, 3648, 1202, 2198, 1297, 12238, 1921, 3457, 3224, 863]"
5642,Explaining solutions using algorithms or techniques,"[5930, 11593, 6768, 17099, 8743, 4200, 2775, 4428, 6411, 8298]"
5643,Mathematical operations in algorithmic problem solving,"[8700, 5037, 9984, 8596, 4723, 9905, 3851, 9786, 4487, 16024]"
5647,The number 1 in mathematical expressions,"[1358, 313, 6921, 3363, 2583, 1711, 784, 2908, 4568, 2777]"
5650,Case 3 in programming and mathematical contexts,"[6903, 19053, 7821, 2647, 2438, 8944, 1491, 7859, 635, 25342]"
5681,"Mathematical equation processing, especially fractions and arithmetic operations","[3335, 900, 961, 815, 868, 760, 11398, 1211, 1471, 3336]"
5683,Addition operations in mathematical explanations,"[3515, 2372, 3610, 1922, 3926, 1765, 2088, 5704, 1050, 4223]"
5688,programming algorithm explanation,"[6612, 10114, 9727, 2993, 7811, 8859, 10739, 7851, 5588, 8651]"
5691,Mathematical variables in problem-solving contexts,"[9897, 12139, 1805, 5648, 1668, 7730, 1964, 4503, 12640, 6209]"
5736,Mathematical reasoning and calculation,"[296, 6279, 4286, 401, 8247, 13342, 264, 297, 7025, 1047]"
5740,Mathematical calculations and numerical operations,"[1639, 14498, 1783, 3761, 1871, 1057, 1782, 477, 1198, 15090]"
5744,Mathematical equations and calculations,"[14111, 2254, 728, 11226, 17286, 9632, 1265, 166, 1712, 8099]"
5767,Mathematical problem solving,"[21648, 14922, 19166, 6267, 6494, 16781, 13016, 17027, 3729, 9925]"
5769,Programming method and function explanations,"[8750, 9182, 1222, 4687, 8225, 9020, 1096, 1533, 1669, 8522]"
5782,Algorithm explanation and problem-solving,"[138, 190, 134, 83, 147, 150, 113, 435, 116, 115]"
5783,Sum of quantities in mathematical contexts,"[1774, 9406, 2643, 5286, 3990, 15358, 12191, 1691, 9920, 4010]"
5792,"Game theory concepts, especially Grundy numbers and mex functions","[3958, 1135, 7359, 1060, 9529, 2103, 3314, 595, 1589, 1139]"
5795,Undirected graph descriptions in mathematical problems,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]"
5802,Mathematical equation processing,[]
5803,"Mathematical expressions and operations, especially exponentiation and modular arithmetic",[]
5805,Mathematical expressions and formulas,[]
5807,"Mathematical operations, particularly multiplication and division",[]
5814,Mathematical reasoning and calculation,[]
5822,Mathematical expressions and equations,[]
5830,Mathematical possibility and existence checking,[]
5841,Mathematical calculation and step-by-step reasoning,[]
5850,Mathematical problem solving,[]
5855,Explaining programming problem solutions,"[12931, 9749, 4193, 7543, 11029, 9582, 1402, 365, 3054, 345]"
5861,Mathematical calculation and numerical reasoning,"[671, 10941, 21390, 1701, 4298, 7129, 2341, 4743, 625, 658]"
5863,Algorithm explanation and mathematical reasoning,"[2137, 977, 476, 836, 1687, 1203, 2134, 5843, 3357, 4532]"
5868,Programming problem solution explanations,"[4299, 7194, 1814, 13537, 5081, 3960, 7177, 5786, 1994, 7014]"
5872,Mathematical term manipulation and analysis,"[1062, 2554, 15296, 726, 7185, 1163, 2390, 5609, 163, 668]"
5877,Mathematical calculations and operations,[]
5893,Mathematical calculation and numerical reasoning,[]
5897,Geometric and spatial reasoning in mathematical problems,[]
5904,Mathematical reasoning transitions in calculations,[]
5914,Mathematical reasoning reflection,[]
5919,Mathematical variables in equations,[]
5924,Mathematical algorithm explanation,[]
5939,Problem statement understanding,[]
5963,Mathematical reasoning about numerical magnitudes and ranges,[]
5990,The number 1 in mathematical contexts,[]
6001,Numbers in mathematical operations,[]
6002,Mathematical explanation and algorithmic reasoning,[]
6005,Self-questioning during mathematical reasoning,[]
6019,Beauty as a mathematical or computational property,[]
6023,Small integers in mathematical reasoning,[]
6027,Internal mathematical structures,[]
6039,Explanation of mathematical reasoning with source attribution,[]
6046,Mathematical and programming operators and expressions,[]
6053,Mathematical reasoning about large numbers and exponents,[]
6061,Algorithmic and mathematical problem solving,[]
6084,Mathematical reasoning and step-by-step calculations,[]
6088,Solving math and programming problems,[]
6089,Subtraction operations in algorithmic explanations,[]
6126,Variable quantity manipulation in algorithms,[]
6148,Mathematical equation operations,[]
6149,Integer math operations in programming,[]
6169,Detailed mathematical problem-solving,[]
6185,Algebraic equation manipulation and mathematical reasoning,[]
6219,Algorithm explanation and computational problem-solving,[]
6236,Mathematical reasoning and constraint satisfaction,[]
6238,Algorithm explanation in programming solutions,[]
6244,computational geometry algorithms and concepts,[]
6245,Mathematical expressions in dynamic programming solutions,[]
6248,Mathematical problems requiring numerical rather than analytical solutions,[]
6257,Geometric series in mathematical reasoning,[]
6269,The digit 1 in programming and mathematical contexts,[]
6276,Mathematical equations and variables,[]
6280,Mathematical calculations and arithmetic operations,[]
6285,Algorithmic problem-solving explanations,[]
6296,Programming and mathematical notation,[]
6306,Mathematical and numerical concepts,[]
6308,Negative numbers in mathematical contexts,[]
6314,Slope detection in mathematical contexts,[]
6320,Mathematical reasoning and step-by-step problem solving,[]
6344,Mathematical equations and variable assignments,[]
6359,Mathematical values and calculations,[]
6368,Mathematical optimization reasoning in problem-solving,[]
6374,Algorithmic problem-solving explanations,[]
6381,mathematical operations and computational problem-solving,[]
6401,Logical reasoning and mathematical relationships,[]
6431,Definite article in mathematical reasoning,[]
6437,Algorithm explanation and problem-solving reasoning,[]
6448,Mathematical reasoning with variables and constraints,[]
6451,Mathematical reasoning and calculation,[]
6481,mathematical summation concepts,[]
6483,Mathematical calculation and numerical reasoning,[]
6500,Mathematical reasoning and calculation steps,[]
6524,Mathematical and computational problem-solving content,[]
6548,Mathematical code in Python,[]
6555,Mathematical algorithm implementation,[]
6564,Programming problem-solving explanations,[]
6576,Mathematical reasoning about valid values and relationships,[]
6599,Geometric and mathematical problem-solving,[]
6613,Mathematical number decomposition and pattern recognition,[]
6630,mathematical terms in equations and expressions,[]
6632,Mathematical and algorithmic problem solving,[]
6643,Uniqueness concepts,[]
6652,Small integer values in dynamic programming explanations,[]
6653,Economic theory and mathematical formalism,[]
6675,Mathematical variables and their values,[]
6676,Function concepts in mathematics and programming,[]
6698,Mathematical and algorithmic problem-solving,[]
6700,Mathematical problem-solving reasoning,[]
6701,Mathematical sequences and patterns,[]
6719,Mathematical reasoning that references previous equations or steps,[]
6738,mathematical reasoning and calculation,[]
6755,Mathematical relationships and conditions,[]
6772,Mathematical notation and reasoning,[]
6775,Mathematical function notation,[]
6783,Large number recognition in mathematical calculations,[]
6798,Mathematical operators in code,[]
6804,Algorithm explanation in programming problems,[]
6806,Mathematical variables and parameters,[]
6816,Starting point for mathematical sequences or calculations,[]
6840,Mathematical computation in computational geometry,[]
6842,Beginning of mathematical expressions,[]
6862,Mathematical variables and indices,[]
6863,Mathematical problem solving,[]
6871,Mathematical and geometric notation tokens,[]
6892,Mathematical relationships between numbers,[]
6899,Algorithmic problem-solving and mathematical computation,[]
6900,Mathematical reasoning through testing specific cases,[]
6916,Algorithm problem-solving explanations,[]
6920,Applying methods or operations in mathematical and computational contexts,[]
6939,Numbers and mathematical operators,[]
6949,Rejecting a mathematical hypothesis or approach,[]
6959,Thinking through mathematical problem-solving,[]
6961,Programming algorithm explanation language,[]
6971,Mathematical comparison operations,[]
7004,Concepts beyond boundaries or limits,[]
7031,Mathematical calculation and reasoning,[]
7033,Explaining algorithmic solutions and computational problem-solving,[]
7042,Multiplication operations in mathematical reasoning,[]
7056,Mathematical statement initiators in programming problems,[]
7068,mathematical calculation steps,[]
7075,The number 1 in mathematical and programming contexts,[]
7092,Algorithm explanation in problem solving,[]
7117,Problem identification in reasoning,[]
7120,Mathematical problem-solving explanations,[]
7122,Mathematical programming problem tokens,[]
7131,Mathematical problem solving,[]
7132,Combinatorial mathematics terminology,[]
7133,Numbers in educational contexts,[]
7139,Mathematical calculations and numerical reasoning,[]
7140,Algorithmic problem-solving explanations,[]
7141,Algorithmic problem-solving explanations,[]
7143,Arbitrary values or quantities in problem statements,[]
7147,Representing data structures and concepts in programming,[]
7158,Mathematical expressions in programming problems,[]
7159,Mathematical and algorithmic problem-solving content,[]
7162,Algorithmic problem solving explanations,[]
7163,Numbers used in mathematical calculations,[]
7170,Mathematical and algorithmic terminology,[]
7182,Mathematical step-by-step reasoning,[]
7195,Mathematical problem solving,[]
7221,Algorithm explanation and implementation,[]
7227,Mathematical problem solving,[]
7237,formal mathematical definitions,[]
7246,Math word problems,[]
7250,Mathematical reasoning with numerical examples,[]
7282,Mathematical calculation and arithmetic operations,[]
7291,Mathematical problem-solving in algorithms,[]
7296,Collective consideration in mathematical reasoning,[]
7298,Numbers in computational contexts,[]
7310,performing mathematical or computational procedures,[]
7314,Algorithmic problem-solving explanations,[]
7318,Mathematical subtraction and removal operations,[]
7321,Mathematical pattern explanations with modular arithmetic and sequences,[]
7327,Numerical reasoning and calculation,[]
7343,Variable tokens in mathematical and programming contexts,[]
7344,Integer properties and mathematical relationships,[]
7378,Variable assignment in mathematical reasoning,[]
7385,Mathematical reasoning with powers and exponents,[]
7390,Mathematical reasoning and calculation,"[2549, 4866, 8857, 13965, 5189, 2172, 2744, 859, 322, 9341]"
7393,Algorithm explanation in programming contexts,"[1918, 2785, 14903, 8505, 2390, 4651, 7718, 4140, 6886, 11740]"
7412,Mathematical reasoning about binary operations,"[4554, 14826, 2218, 497, 317, 4555, 1712, 11454, 2051, 5761]"
7415,Mathematical expressions and calculations,[]
7418,Mathematical equations and equation-related discussions,"[5676, 3584, 7896, 4406, 7219, 1446, 5594, 15788, 44, 12536]"
7422,Identifying specific elements that satisfy a condition during mathematical reasoning,"[773, 1123, 1842, 4423, 496, 4525, 2239, 4500, 713, 2928]"
7427,Numbers in mathematical expressions,"[19317, 13561, 7183, 4586, 1310, 6082, 7999, 8093, 9117, 3666]"
7443,Mathematical calculations and arithmetic operations,"[7246, 7454, 7308, 2701, 2624, 9258, 9137, 12203, 14887, 4368]"
7461,Computational geometry and squared terms in mathematical expressions,"[11808, 11687, 6861, 8948, 23292, 12928, 11899, 6054, 5885, 5675]"
7465,Optimization problem quantity phrases,"[225, 225, 192, 5458, 18284, 1219, 2973, 277, 2837, 3781]"
7475,Introduction of key mathematical parameters in problem statements,"[24, 20, 25, 23, 63, 211, 20, 54, 13, 25]"
7494,Mathematical reasoning and calculation steps,"[4600, 2395, 1062, 8216, 6915, 719, 4023, 3022, 2267, 2982]"
7501,Mathematical calculation components,"[3072, 532, 11891, 1400, 1736, 1706, 1399, 982, 8301, 6377]"
7511,Mathematical reasoning and algorithmic problem-solving,"[1588, 9870, 12398, 3322, 3272, 5994, 3428, 5080, 1992, 16337]"
7519,Mathematical operators in programming contexts,"[3293, 14461, 5982, 6268, 425, 2189, 9825, 13413, 15212, 112]"
7532,The number 2 in mathematical expressions,"[177, 481, 1130, 536, 4157, 14426, 2920, 3204, 4376, 626]"
7552,Mathematical reasoning and order of operations,"[273, 16667, 394, 1, 13202, 6466, 7566, 42, 3562, 549]"
7585,Mathematical calculations and numerical reasoning,"[10155, 605, 4662, 9560, 4675, 3015, 9459, 1975, 5742, 9458]"
7600,Mathematical operations (especially addition and subtraction),"[4509, 1800, 2179, 6799, 5412, 3984, 8663, 1840, 4397, 11059]"
7605,Numbers in mathematical expressions and equations,"[916, 2907, 2851, 3290, 7939, 1586, 3041, 7296, 1696, 6307]"
7651,Mathematical addition operations,"[3811, 10671, 2049, 2924, 8911, 9438, 965, 1626, 1404, 1019]"
7673,Variable n in mathematical expressions and algorithms,"[3152, 2104, 3980, 3868, 2468, 3401, 2565, 2307, 3024, 2236]"
7680,Mathematical reasoning and algorithmic explanation,"[9809, 9814, 135, 17728, 881, 14885, 4982, 9352, 6794, 67]"
7693,Numbers in programming and mathematical contexts,"[219, 476, 1015, 681, 516, 503, 737, 607, 573, 394]"
7708,Mathematical comparison and subtraction operations,"[1960, 5331, 2141, 16920, 16921, 11171, 4368, 4081, 2372, 5332]"
7710,Mathematical notation in competitive programming explanations,"[20656, 17050, 14908, 5496, 9563, 16841, 4264, 7601, 5295, 6228]"
7711,Mathematical expressions in algorithmic reasoning,"[14191, 8952, 6100, 12421, 5075, 7106, 1606, 6658, 4355, 5635]"
7719,Mathematical calculation and numerical reasoning,"[3258, 6179, 792, 11566, 10478, 4065, 3336, 985, 1106, 15255]"
7720,Problem-solving and explanation reasoning,"[5396, 1001, 737, 762, 1580, 412, 7267, 1074, 828, 351]"
7729,Prime numbers in mathematical contexts,"[13386, 2461, 16283, 6591, 10763, 10643, 10287, 9016, 4776, 2980]"
7758,Mathematical reasoning and calculation,"[9403, 1520, 13723, 5562, 15316, 1623, 17322, 1521, 5286, 89]"
7766,Mathematical computation steps in problem solving,"[1929, 1865, 1052, 1731, 775, 2216, 752, 1506, 591, 1052]"
7771,Mathematical reasoning and step-by-step calculation,"[7775, 3220, 13571, 3111, 254, 6612, 10158, 3205, 9546, 8848]"
7811,Mathematical operations in algorithmic code,"[6882, 12221, 12864, 5601, 5410, 7966, 8894, 10064, 4716, 13835]"
7817,The digit 1 in mathematical and programming contexts,"[1425, 703, 2316, 4949, 7612, 4416, 2513, 721, 3986, 421]"
7849,Algorithm explanation sequences,"[501, 717, 501, 805, 735, 318, 560, 322, 390, 743]"
7860,Mathematical variable tokens in algorithms and equations,"[2738, 14739, 18657, 3045, 5961, 15776, 12189, 9916, 795, 3464]"
7862,Mathematical reasoning and calculation steps,"[8170, 3015, 9822, 10695, 7184, 11846, 13414, 7111, 11136, 2193]"
7863,Algorithm explanation and implementation,"[20310, 5293, 3525, 816, 870, 3407, 6357, 6373, 17529, 602]"
7886,Mathematical term assignment in programming,"[16429, 17012, 15456, 4635, 16920, 10845, 9822, 17660, 10976, 11864]"
7894,Problem-solving approach explanation,"[30, 22, 20, 46, 30, 52, 18, 48, 19, 18]"
7909,Algorithm explanation in programming solutions,"[4350, 4349, 6027, 12036, 10310, 4351, 14547, 1420, 6282, 2532]"
7920,Algebraic operations and mathematical expressions,"[5355, 1590, 4395, 2140, 1605, 7584, 2308, 621, 1024, 2487]"
7934,Computational reasoning and calculation,"[6181, 2313, 4259, 1807, 1755, 6253, 6321, 3733, 2190, 5509]"
7938,Problem-solving approach explanation,"[6947, 8256, 6075, 10745, 4839, 5681, 2646, 4977, 5295, 3507]"
7939,Variable assignment operations during mathematical reasoning,"[5550, 3030, 3279, 12367, 7584, 4429, 6816, 6314, 7568, 11707]"
7956,Let's take an example to illustrate this concept,"[12508, 3109, 3490, 5399, 789, 4581, 4300, 1115, 3778, 7930]"
7970,Mathematical expression formulation in geometry problems,"[1188, 1955, 799, 1784, 506, 1357, 616, 1785, 429, 1997]"
7973,The output of a programming problem or algorithm,"[9398, 4441, 8433, 7362, 5346, 3596, 11940, 5919, 1574, 7090]"
7978,Explaining how or why something works,"[3849, 891, 164, 3322, 683, 3502, 6017, 1035, 5974, 155]"
7985,Mathematical calculation and numerical reasoning,"[1897, 2403, 5042, 695, 5289, 6520, 4914, 2424, 2622, 7247]"
7986,Mathematical reasoning with numerical values,"[4663, 599, 602, 3569, 2010, 598, 1119, 1592, 1164, 574]"
7990,Explanation or example introduction,"[5263, 8815, 6096, 15153, 13538, 8816, 9138, 8883, 1435, 7961]"
7993,Mathematical and algorithmic problem solving,"[9808, 11992, 13761, 6164, 11207, 588, 12781, 6147, 8801, 3000]"
8012,Small integers (0 and 1) in mathematical and programming contexts,"[86, 147, 154, 549, 227, 84, 186, 198, 99, 211]"
8020,Mathematical assignment operations with addition,"[12655, 6584, 4233, 7627, 8204, 8170, 2623, 10026, 8021, 10084]"
8037,Dynamic programming with mathematical operations,"[791, 3934, 4124, 3933, 4877, 11159, 2529, 790, 3713, 589]"
8038,Numbers in mathematical calculations,"[11242, 763, 223, 3460, 2197, 343, 517, 2833, 416, 17768]"
8042,Mathematical variables in equations and algorithms,"[252, 17490, 2381, 2640, 9879, 11223, 14668, 7763, 11517, 7449]"
8046,Recalling mathematical formulas during problem-solving,"[67, 96, 70, 86, 74, 87, 71, 52, 59, 93]"
8047,Mathematical constraint reasoning,"[1395, 8038, 7352, 6536, 4432, 2612, 7724, 2743, 1598, 1544]"
8050,Mathematical and programming syntax elements,"[1683, 1381, 997, 1144, 1150, 1167, 2042, 483, 1152, 5520]"
8067,Algorithm explanation and problem-solving,"[81, 108, 191, 103, 145, 104, 224, 174, 25, 18137]"
8069,Numbers in programming problem contexts,"[337, 602, 402, 311, 309, 209, 400, 419, 2894, 343]"
8070,Geometric reasoning and spatial relationships,"[3815, 4843, 4899, 2799, 2732, 2798, 13020, 11109, 3144, 1593]"
8083,Punctuation in mathematical or technical explanations,"[3539, 5699, 3286, 1428, 2805, 16047, 13473, 3356, 4815, 2931]"
8086,Mathematical notation and symbols,"[1701, 5292, 12401, 16982, 16125, 11213, 3460, 7624, 3230, 3175]"
8092,References to specific elements or operations within mathematical problems,"[215, 366, 1061, 13723, 7481, 487, 681, 2024, 2619, 312]"
